FRODO  Copyright (C) 2008-2019  Thomas Leaute, Brammert Ottens & Radoslaw Szymanek
This program comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it
under certain conditions. 

Parsing the chosen problem file...
Parsing the chosen agent configuration file...
Setting up the agents...
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	12 597
	[ALL, DSA, VALUE]:	12 570
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	37 710
	[ALL, DSA, VALUE]:	12 570
	[ALL, DSA, VALUE]:	16 784
	[ALL, DSA, VALUE]:	16 785
	[ALL, DSA, VALUE]:	12 564
	[ALL, DSA, VALUE]:	8 379
	[ALL, DSA, VALUE]:	8 379
	[ALL, DSA, VALUE]:	46 090
	[ALL, DSA, VALUE]:	46 090
	[ALL, DSA, VALUE]:	46 090
	[ALL, DSA, VALUE]:	46 090
	[ALL, DSA, VALUE]:	46 090
	[ALL, DSA, VALUE]:	33 520
	[ALL, DSA, VALUE]:	33 520
	[ALL, DSA, VALUE]:	16 760
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	12 570
	[ALL, DSA, VALUE]:	12 597
	[ALL, DSA, VALUE]:	12 570
	[ALL, DSA, VALUE]:	29 393
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	20 995
	[ALL, DSA, VALUE]:	20 950
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	4 196
	[ALL, DSA, VALUE]:	4 199
	[ALL, DSA, VALUE]:	4 199
	[ALL, DSA, VALUE]:	54 470
	[ALL, DSA, VALUE]:	54 470
	[ALL, DSA, VALUE]:	33 520
	[ALL, DSA, VALUE]:	33 520
	[ALL, DSA, VALUE]:	33 520
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	29 330
	[ALL, DSA, VALUE]:	4 199
	- Total:	21 771 879
Amount of information sent (by agent, in bytes): 
	agent_0:	50 266
	agent_1:	50 266
	agent_10:	16 785
	agent_100:	41 900
	agent_101:	41 900
	agent_102:	100 560
	agent_103:	92 180
	agent_104:	100 560
	agent_105:	92 180
	agent_106:	83 800
	agent_107:	71 230
	agent_108:	83 800
	agent_109:	71 230
	agent_11:	16 753
	agent_110:	29 330
	agent_111:	29 330
	agent_112:	75 420
	agent_113:	71 230
	agent_114:	87 990
	agent_115:	83 800
	agent_116:	79 610
	agent_117:	79 610
	agent_118:	71 226
	agent_119:	62 846
	agent_12:	37 698
	agent_120:	58 658
	agent_121:	50 278
	agent_122:	37 710
	agent_123:	37 710
	agent_124:	37 710
	agent_125:	37 710
	agent_126:	29 330
	agent_127:	41 900
	agent_128:	37 710
	agent_129:	29 393
	agent_13:	37 699
	agent_130:	25 140
	agent_131:	25 140
	agent_132:	62 850
	agent_133:	71 230
	agent_134:	62 850
	agent_135:	71 230
	agent_136:	71 230
	agent_137:	71 230
	agent_138:	37 710
	agent_139:	37 710
	agent_14:	33 510
	agent_140:	54 470
	agent_141:	54 470
	agent_142:	79 610
	agent_143:	79 610
	agent_144:	37 710
	agent_145:	37 710
	agent_146:	50 280
	agent_147:	46 090
	agent_148:	54 470
	agent_149:	58 660
	agent_15:	41 887
	agent_150:	71 230
	agent_151:	71 230
	agent_152:	33 520
	agent_153:	29 330
	agent_154:	46 090
	agent_155:	46 090
	agent_156:	46 090
	agent_157:	46 090
	agent_158:	62 850
	agent_159:	67 040
	agent_16:	121 510
	agent_160:	37 708
	agent_161:	37 708
	agent_162:	87 990
	agent_163:	92 180
	agent_164:	67 040
	agent_165:	71 230
	agent_166:	67 040
	agent_167:	62 850
	agent_168:	37 710
	agent_169:	37 710
	agent_17:	121 510
	agent_170:	37 710
	agent_171:	37 710
	agent_172:	62 850
	agent_173:	67 040
	agent_174:	12 570
	agent_175:	12 570
	agent_176:	83 800
	agent_177:	67 040
	agent_178:	16 760
	agent_179:	16 760
	agent_18:	104 750
	agent_180:	54 470
	agent_181:	54 470
	agent_182:	29 330
	agent_183:	29 330
	agent_184:	71 230
	agent_185:	79 610
	agent_186:	46 090
	agent_187:	29 330
	agent_188:	29 330
	agent_189:	29 330
	agent_19:	104 750
	agent_190:	54 470
	agent_191:	54 470
	agent_192:	12 570
	agent_193:	12 570
	agent_194:	29 330
	agent_195:	29 330
	agent_196:	29 330
	agent_197:	29 330
	agent_198:	41 900
	agent_199:	37 710
	agent_2:	50 266
	agent_20:	67 040
	agent_200:	20 950
	agent_201:	25 140
	agent_202:	37 710
	agent_203:	37 710
	agent_204:	46 090
	agent_205:	46 090
	agent_206:	96 370
	agent_207:	96 370
	agent_208:	96 366
	agent_209:	92 176
	agent_21:	62 850
	agent_210:	50 280
	agent_211:	54 470
	agent_212:	62 850
	agent_213:	62 850
	agent_214:	100 560
	agent_215:	83 800
	agent_216:	62 850
	agent_217:	62 850
	agent_218:	20 950
	agent_219:	20 950
	agent_22:	29 330
	agent_220:	29 330
	agent_221:	29 330
	agent_222:	37 791
	agent_223:	37 710
	agent_224:	29 330
	agent_225:	33 520
	agent_226:	58 660
	agent_227:	58 660
	agent_228:	54 470
	agent_229:	54 470
	agent_23:	58 660
	agent_230:	25 140
	agent_231:	20 950
	agent_232:	20 950
	agent_233:	20 995
	agent_234:	87 990
	agent_235:	92 180
	agent_236:	29 330
	agent_237:	46 090
	agent_238:	33 520
	agent_239:	29 330
	agent_24:	108 940
	agent_240:	20 950
	agent_241:	20 950
	agent_242:	79 610
	agent_243:	75 420
	agent_244:	62 850
	agent_245:	71 230
	agent_246:	29 393
	agent_247:	29 330
	agent_248:	58 660
	agent_249:	54 470
	agent_25:	100 560
	agent_250:	71 226
	agent_251:	71 226
	agent_252:	41 900
	agent_253:	37 710
	agent_254:	25 140
	agent_255:	33 520
	agent_256:	25 140
	agent_257:	25 140
	agent_258:	71 230
	agent_259:	62 850
	agent_26:	100 560
	agent_260:	75 416
	agent_261:	83 796
	agent_262:	83 800
	agent_263:	79 610
	agent_264:	29 330
	agent_265:	54 470
	agent_266:	87 990
	agent_267:	92 180
	agent_268:	71 230
	agent_269:	67 040
	agent_27:	104 750
	agent_270:	29 330
	agent_271:	29 330
	agent_272:	29 330
	agent_273:	29 330
	agent_274:	41 900
	agent_275:	41 990
	agent_276:	37 710
	agent_277:	25 140
	agent_278:	41 900
	agent_279:	41 900
	agent_28:	163 410
	agent_280:	41 900
	agent_281:	41 900
	agent_282:	20 950
	agent_283:	20 950
	agent_284:	75 420
	agent_285:	79 610
	agent_286:	75 420
	agent_287:	79 610
	agent_288:	33 520
	agent_289:	29 330
	agent_29:	175 980
	agent_290:	8 379
	agent_291:	4 199
	agent_292:	54 470
	agent_293:	50 280
	agent_294:	12 597
	agent_295:	12 570
	agent_296:	16 796
	agent_297:	20 950
	agent_298:	83 798
	agent_299:	83 798
	agent_3:	50 266
	agent_30:	159 220
	agent_300:	184 360
	agent_301:	134 080
	agent_302:	37 710
	agent_303:	37 710
	agent_304:	20 950
	agent_305:	20 950
	agent_306:	125 700
	agent_307:	129 890
	agent_308:	41 900
	agent_309:	41 900
	agent_31:	159 220
	agent_310:	117 320
	agent_311:	125 700
	agent_312:	108 940
	agent_313:	117 320
	agent_314:	117 320
	agent_315:	113 130
	agent_316:	100 560
	agent_317:	104 750
	agent_318:	29 328
	agent_319:	33 518
	agent_32:	33 520
	agent_320:	67 040
	agent_321:	54 470
	agent_322:	54 470
	agent_323:	54 470
	agent_324:	41 900
	agent_325:	46 090
	agent_326:	58 656
	agent_327:	54 466
	agent_328:	37 710
	agent_329:	50 280
	agent_33:	33 520
	agent_330:	12 570
	agent_331:	16 760
	agent_332:	41 900
	agent_333:	37 710
	agent_334:	25 140
	agent_335:	20 950
	agent_336:	20 995
	agent_337:	25 140
	agent_338:	37 710
	agent_339:	37 710
	agent_34:	33 520
	agent_340:	41 896
	agent_341:	33 516
	agent_342:	184 356
	agent_343:	163 406
	agent_344:	50 280
	agent_345:	29 330
	agent_346:	29 330
	agent_347:	20 950
	agent_348:	12 597
	agent_349:	12 570
	agent_35:	33 520
	agent_350:	29 330
	agent_351:	29 330
	agent_352:	58 658
	agent_353:	50 280
	agent_354:	54 470
	agent_355:	50 280
	agent_356:	25 140
	agent_357:	37 709
	agent_358:	25 140
	agent_359:	29 330
	agent_36:	113 130
	agent_360:	29 330
	agent_361:	25 140
	agent_362:	25 140
	agent_363:	20 950
	agent_364:	20 950
	agent_365:	25 140
	agent_366:	29 330
	agent_367:	33 520
	agent_368:	54 470
	agent_369:	67 040
	agent_37:	180 170
	agent_370:	12 597
	agent_371:	12 570
	agent_372:	20 950
	agent_373:	20 995
	agent_374:	29 330
	agent_375:	29 330
	agent_376:	20 950
	agent_377:	16 760
	agent_378:	37 710
	agent_379:	33 520
	agent_38:	150 840
	agent_380:	29 393
	agent_381:	29 330
	agent_382:	20 950
	agent_383:	20 950
	agent_384:	46 090
	agent_385:	41 900
	agent_386:	87 990
	agent_387:	92 180
	agent_388:	92 180
	agent_389:	75 420
	agent_39:	96 370
	agent_390:	67 040
	agent_391:	67 040
	agent_392:	4 199
	agent_393:	8 379
	agent_394:	75 420
	agent_395:	100 560
	agent_396:	20 950
	agent_397:	20 950
	agent_398:	20 950
	agent_399:	20 995
	agent_4:	12 564
	agent_40:	247 210
	agent_41:	217 880
	agent_42:	37 710
	agent_43:	46 090
	agent_44:	37 710
	agent_45:	46 090
	agent_46:	75 420
	agent_47:	79 610
	agent_48:	100 560
	agent_49:	83 800
	agent_5:	4 196
	agent_50:	100 560
	agent_51:	83 800
	agent_52:	71 230
	agent_53:	79 610
	agent_54:	129 890
	agent_55:	87 990
	agent_56:	20 995
	agent_57:	20 950
	agent_58:	62 850
	agent_59:	62 850
	agent_6:	20 944
	agent_60:	20 950
	agent_61:	20 950
	agent_62:	54 470
	agent_63:	54 470
	agent_64:	12 570
	agent_65:	20 995
	agent_66:	16 760
	agent_67:	20 950
	agent_68:	12 570
	agent_69:	16 760
	agent_7:	20 944
	agent_70:	37 710
	agent_71:	37 710
	agent_72:	37 710
	agent_73:	41 900
	agent_74:	37 710
	agent_75:	41 900
	agent_76:	83 800
	agent_77:	79 610
	agent_78:	83 800
	agent_79:	79 610
	agent_8:	16 784
	agent_80:	92 180
	agent_81:	100 560
	agent_82:	92 180
	agent_83:	100 560
	agent_84:	125 700
	agent_85:	129 890
	agent_86:	62 850
	agent_87:	67 040
	agent_88:	75 420
	agent_89:	79 610
	agent_9:	29 319
	agent_90:	50 280
	agent_91:	46 090
	agent_92:	12 597
	agent_93:	12 570
	agent_94:	20 949
	agent_95:	25 139
	agent_96:	37 710
	agent_97:	37 710
	agent_98:	4 199
	agent_99:	20 950
Amount of information received (by agent, in bytes): 
	agent_0:	50 266
	agent_1:	50 266
	agent_10:	16 761
	agent_100:	41 900
	agent_101:	41 900
	agent_102:	100 560
	agent_103:	92 180
	agent_104:	100 560
	agent_105:	92 180
	agent_106:	83 800
	agent_107:	71 230
	agent_108:	83 800
	agent_109:	71 230
	agent_11:	16 769
	agent_110:	29 330
	agent_111:	29 330
	agent_112:	75 420
	agent_113:	71 230
	agent_114:	87 990
	agent_115:	83 800
	agent_116:	79 610
	agent_117:	79 610
	agent_118:	71 226
	agent_119:	62 846
	agent_12:	37 698
	agent_120:	58 658
	agent_121:	50 278
	agent_122:	37 710
	agent_123:	37 710
	agent_124:	37 710
	agent_125:	37 710
	agent_126:	29 330
	agent_127:	41 900
	agent_128:	37 728
	agent_129:	29 339
	agent_13:	37 699
	agent_130:	25 149
	agent_131:	25 149
	agent_132:	62 850
	agent_133:	71 230
	agent_134:	62 850
	agent_135:	71 230
	agent_136:	71 230
	agent_137:	71 230
	agent_138:	37 710
	agent_139:	37 710
	agent_14:	33 510
	agent_140:	54 470
	agent_141:	54 470
	agent_142:	79 610
	agent_143:	79 610
	agent_144:	37 710
	agent_145:	37 710
	agent_146:	50 280
	agent_147:	46 090
	agent_148:	54 470
	agent_149:	58 660
	agent_15:	41 887
	agent_150:	71 230
	agent_151:	71 230
	agent_152:	33 520
	agent_153:	29 330
	agent_154:	46 090
	agent_155:	46 090
	agent_156:	46 090
	agent_157:	46 090
	agent_158:	62 859
	agent_159:	67 049
	agent_16:	121 510
	agent_160:	37 717
	agent_161:	37 717
	agent_162:	87 990
	agent_163:	92 180
	agent_164:	67 040
	agent_165:	71 230
	agent_166:	67 040
	agent_167:	62 850
	agent_168:	37 710
	agent_169:	37 710
	agent_17:	121 510
	agent_170:	37 710
	agent_171:	37 710
	agent_172:	62 850
	agent_173:	67 040
	agent_174:	12 570
	agent_175:	12 570
	agent_176:	83 800
	agent_177:	67 040
	agent_178:	16 760
	agent_179:	16 769
	agent_18:	104 750
	agent_180:	54 479
	agent_181:	54 479
	agent_182:	29 330
	agent_183:	29 330
	agent_184:	71 230
	agent_185:	79 610
	agent_186:	46 090
	agent_187:	29 330
	agent_188:	29 330
	agent_189:	29 330
	agent_19:	104 750
	agent_190:	54 470
	agent_191:	54 470
	agent_192:	12 570
	agent_193:	12 570
	agent_194:	29 330
	agent_195:	29 330
	agent_196:	29 330
	agent_197:	29 330
	agent_198:	41 900
	agent_199:	37 710
	agent_2:	50 266
	agent_20:	67 040
	agent_200:	20 950
	agent_201:	25 140
	agent_202:	37 710
	agent_203:	37 710
	agent_204:	46 090
	agent_205:	46 090
	agent_206:	96 370
	agent_207:	96 370
	agent_208:	96 366
	agent_209:	92 176
	agent_21:	62 850
	agent_210:	50 280
	agent_211:	54 470
	agent_212:	62 850
	agent_213:	62 850
	agent_214:	100 560
	agent_215:	83 800
	agent_216:	62 850
	agent_217:	62 850
	agent_218:	20 950
	agent_219:	20 950
	agent_22:	29 330
	agent_220:	29 339
	agent_221:	29 339
	agent_222:	37 710
	agent_223:	37 719
	agent_224:	29 339
	agent_225:	33 529
	agent_226:	58 669
	agent_227:	58 669
	agent_228:	54 470
	agent_229:	54 470
	agent_23:	58 660
	agent_230:	25 140
	agent_231:	20 950
	agent_232:	20 959
	agent_233:	20 950
	agent_234:	87 990
	agent_235:	92 180
	agent_236:	29 330
	agent_237:	46 090
	agent_238:	33 520
	agent_239:	29 330
	agent_24:	108 940
	agent_240:	20 959
	agent_241:	20 959
	agent_242:	79 610
	agent_243:	75 420
	agent_244:	62 850
	agent_245:	71 230
	agent_246:	29 330
	agent_247:	29 339
	agent_248:	58 660
	agent_249:	54 470
	agent_25:	100 560
	agent_250:	71 226
	agent_251:	71 226
	agent_252:	41 909
	agent_253:	37 719
	agent_254:	25 140
	agent_255:	33 520
	agent_256:	25 140
	agent_257:	25 149
	agent_258:	71 230
	agent_259:	62 850
	agent_26:	100 560
	agent_260:	75 416
	agent_261:	83 796
	agent_262:	83 800
	agent_263:	79 610
	agent_264:	29 339
	agent_265:	54 479
	agent_266:	87 990
	agent_267:	92 180
	agent_268:	71 230
	agent_269:	67 040
	agent_27:	104 750
	agent_270:	29 339
	agent_271:	29 339
	agent_272:	29 330
	agent_273:	29 330
	agent_274:	41 909
	agent_275:	41 900
	agent_276:	37 719
	agent_277:	25 149
	agent_278:	41 900
	agent_279:	41 900
	agent_28:	163 410
	agent_280:	41 900
	agent_281:	41 900
	agent_282:	20 959
	agent_283:	20 959
	agent_284:	75 420
	agent_285:	79 610
	agent_286:	75 420
	agent_287:	79 610
	agent_288:	33 529
	agent_289:	29 339
	agent_29:	175 980
	agent_290:	8 388
	agent_291:	4 190
	agent_292:	54 470
	agent_293:	50 280
	agent_294:	12 570
	agent_295:	12 579
	agent_296:	16 760
	agent_297:	20 959
	agent_298:	83 798
	agent_299:	83 798
	agent_3:	50 266
	agent_30:	159 220
	agent_300:	184 360
	agent_301:	134 080
	agent_302:	37 710
	agent_303:	37 710
	agent_304:	20 968
	agent_305:	20 968
	agent_306:	125 700
	agent_307:	129 890
	agent_308:	41 900
	agent_309:	41 900
	agent_31:	159 220
	agent_310:	117 320
	agent_311:	125 700
	agent_312:	108 940
	agent_313:	117 320
	agent_314:	117 320
	agent_315:	113 130
	agent_316:	100 560
	agent_317:	104 750
	agent_318:	29 328
	agent_319:	33 518
	agent_32:	33 520
	agent_320:	67 040
	agent_321:	54 470
	agent_322:	54 479
	agent_323:	54 479
	agent_324:	41 900
	agent_325:	46 090
	agent_326:	58 656
	agent_327:	54 475
	agent_328:	37 710
	agent_329:	50 280
	agent_33:	33 520
	agent_330:	12 570
	agent_331:	16 760
	agent_332:	41 900
	agent_333:	37 710
	agent_334:	25 149
	agent_335:	20 959
	agent_336:	20 950
	agent_337:	25 149
	agent_338:	37 710
	agent_339:	37 710
	agent_34:	33 520
	agent_340:	41 896
	agent_341:	33 516
	agent_342:	184 356
	agent_343:	163 415
	agent_344:	50 280
	agent_345:	29 330
	agent_346:	29 330
	agent_347:	20 950
	agent_348:	12 570
	agent_349:	12 579
	agent_35:	33 520
	agent_350:	29 330
	agent_351:	29 330
	agent_352:	58 658
	agent_353:	50 280
	agent_354:	54 470
	agent_355:	50 280
	agent_356:	25 140
	agent_357:	37 709
	agent_358:	25 140
	agent_359:	29 330
	agent_36:	113 130
	agent_360:	29 330
	agent_361:	25 140
	agent_362:	25 140
	agent_363:	20 950
	agent_364:	20 950
	agent_365:	25 140
	agent_366:	29 330
	agent_367:	33 520
	agent_368:	54 470
	agent_369:	67 040
	agent_37:	180 170
	agent_370:	12 579
	agent_371:	12 588
	agent_372:	20 968
	agent_373:	20 959
	agent_374:	29 339
	agent_375:	29 339
	agent_376:	20 950
	agent_377:	16 760
	agent_378:	37 728
	agent_379:	33 538
	agent_38:	150 840
	agent_380:	29 339
	agent_381:	29 348
	agent_382:	20 959
	agent_383:	20 959
	agent_384:	46 090
	agent_385:	41 900
	agent_386:	87 990
	agent_387:	92 180
	agent_388:	92 180
	agent_389:	75 420
	agent_39:	96 370
	agent_390:	67 040
	agent_391:	67 040
	agent_392:	4 190
	agent_393:	8 388
	agent_394:	75 420
	agent_395:	100 560
	agent_396:	20 959
	agent_397:	20 959
	agent_398:	20 968
	agent_399:	20 959
	agent_4:	12 580
	agent_40:	247 210
	agent_41:	217 880
	agent_42:	37 710
	agent_43:	46 090
	agent_44:	37 710
	agent_45:	46 090
	agent_46:	75 420
	agent_47:	79 610
	agent_48:	100 560
	agent_49:	83 800
	agent_5:	4 188
	agent_50:	100 560
	agent_51:	83 800
	agent_52:	71 230
	agent_53:	79 610
	agent_54:	129 890
	agent_55:	87 990
	agent_56:	20 959
	agent_57:	20 968
	agent_58:	62 850
	agent_59:	62 850
	agent_6:	20 944
	agent_60:	20 950
	agent_61:	20 950
	agent_62:	54 470
	agent_63:	54 470
	agent_64:	12 579
	agent_65:	20 950
	agent_66:	16 769
	agent_67:	20 959
	agent_68:	12 570
	agent_69:	16 760
	agent_7:	20 944
	agent_70:	37 710
	agent_71:	37 710
	agent_72:	37 710
	agent_73:	41 900
	agent_74:	37 710
	agent_75:	41 900
	agent_76:	83 809
	agent_77:	79 619
	agent_78:	83 809
	agent_79:	79 619
	agent_8:	16 760
	agent_80:	92 180
	agent_81:	100 560
	agent_82:	92 180
	agent_83:	100 560
	agent_84:	125 700
	agent_85:	129 890
	agent_86:	62 850
	agent_87:	67 040
	agent_88:	75 420
	agent_89:	79 610
	agent_9:	29 335
	agent_90:	50 280
	agent_91:	46 090
	agent_92:	12 570
	agent_93:	12 579
	agent_94:	20 957
	agent_95:	25 139
	agent_96:	37 719
	agent_97:	37 719
	agent_98:	4 190
	agent_99:	20 959
Size of the largest message sent (by type, in bytes): 
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	229
	[ALL, DSA, VALUE]:	229
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	229
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	229
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
	[ALL, DSA, VALUE]:	230
